,Rank,Title,Distributor,Domestic gross,Year
507,8,The Croods: A New Age,Universal,"$58,592,120",2020
508,9,Tenet,Warner Bros.,"$58,456,624",2020
509,10,Wonder Woman 1984,Warner Bros.,"$46,801,036",2020
510,1,Spider-Man: No Way Home,Sony,"$804,617,772",2021
511,2,Shang-Chi and the Legend of the Ten Rings,Disney,"$224,886,280",2021
512,3,Venom: Let There Be Carnage,Sony,"$213,550,366",2021
513,4,Black Widow,Disney,"$183,651,655",2021
514,5,F9,Universal,"$173,005,945",2021
515,6,Eternals,Disney,"$164,870,234",2021
516,7,Sing 2,Universal,"$162,790,990",2021
517,8,No Time to Die,MGM / Universal,"$160,891,007",2021
518,9,A Quiet Place Part II,Paramount,"$160,072,261",2021
519,10,Ghostbusters: Afterlife,Sony,"$129,360,575",2021
520,1,Top Gun: Maverick,Paramount,"$718,732,821",2022
521,2,Avatar: The Way of Water,20th Century / Disney,"$684,075,767",2022
522,3,Black Panther: Wakanda Forever,Disney,"$453,829,060",2022
523,4,Doctor Strange in the Multiverse of Madness,Disney,"$411,331,607",2022
524,5,Jurassic World Dominion,Universal,"$376,851,080",2022
525,6,Minions: The Rise of Gru,Universal,"$369,695,210",2022
526,7,The Batman,Warner Bros.,"$369,345,583",2022
527,8,Thor: Love and Thunder,Disney,"$343,256,830",2022
528,9,Sonic the Hedgehog 2,Paramount,"$190,872,904",2022
529,10,Puss in Boots: The Last Wish,Universal,"$185,535,345",2022
530,1,Barbie,Warner Bros.,"$636,236,401",2023
531,2,The Super Mario Bros. Movie,Universal,"$574,934,330",2023
532,3,Spider-Man: Across the Spider-Verse,Sony,"$381,593,754",2023
533,4,Guardians of the Galaxy Vol. 3,Disney,"$358,995,815",2023
534,5,Oppenheimer,Universal,"$329,862,540",2023
535,6,The Little Mermaid,Disney,"$298,172,056",2023
536,7,Wonka,Warner Bros.,"$218,377,073",2023
537,8,Ant-Man and the Wasp: Quantumania,Disney,"$214,506,909",2023
538,9,John Wick: Chapter 4,Lionsgate,"$187,131,806",2023
539,10,Sound of Freedom,Angel Studios,"$184,174,617",2023
